input karkarp: 0
karkarp, reprand standard, reprand prepart, hill climb standard, hill climb prepart, anneal standard, anneal prepart
17.016,46521.5,396276,8855.46,235841,9392.67,301368
10.064,44621.7,414502,6118.44,229842,9331.01,229156
12.8,42342.9,365000,24308,672280,11741.5,342555
11.808,74352.1,452440,7488.09,233494,8121.87,255901
10.238,46109.7,376845,7896.64,222216,9006.67,275485
13.074,44918,331206,7100.6,400166,13612.4,265017
26.524,44468.3,369467,10021.1,305311,11941.7,268468
15.453,46699.6,427113,8648.04,375985,11381.1,263421
10.995,48177.2,395526,8265.18,277219,12216.3,267046
11.229,57878.5,378039,7083.44,242716,8991.3,256906
13.403,51433.4,487977,6513.94,234180,8269.78,245995
12.322,41898.8,329123,14374.5,234578,13767.9,267447
10.678,47948.5,375872,10427.6,223138,7897.63,236336
11.275,44350.2,365482,8474.22,267972,24474.5,273279
15.254,43609.7,339292,8344.09,218850,8270.58,227430
12.089,42159.3,318266,5811.44,218656,10002.7,239839
15.556,48326.9,330270,5821.25,205381,8895.48,226911
10.974,44151.4,326741,7980.24,215811,8242.5,234344
10.485,40848.3,364992,12934.9,279113,21023.9,254695
11.556,44852.2,351477,6679.96,238833,7855.11,238838
12.36,45227.8,342034,6832.03,222254,17154.3,300798
16.134,46580.6,376073,7579.08,242973,14271.7,271017
11.236,41516,322315,6733.95,263990,16273,330470
12.844,46512.9,333582,6558.32,238406,9378.8,232860
14.953,47120.4,315958,6349.1,233433,8078.11,256412
10.386,50721.8,351032,6314.65,218878,14990.2,285390
10.145,52899.5,318747,6020.04,194702,7563.74,204486
10.786,39831.5,291351,7280.34,223916,7626.44,204288
10.612,43559.6,336217,6433.18,268638,13769.4,264713
17.457,50158.9,349090,8494.84,211017,9347.28,256253
15.373,46613.9,382233,6581.38,224140,8872.72,244094
11.795,45033.4,368308,7679.25,228216,9004.26,244892
13.056,50198.7,368991,7141.24,245126,10420.5,237135
11.845,44327.7,362322,8513.67,250362,12890.9,279813
11.839,48069.7,344144,6746.74,239965,12484.3,246312
15.48,44111.5,321798,6662.99,212949,11808.5,228832
12.129,46059.2,430808,9417.35,325953,14680.1,371816
13.538,65294,375635,8674.38,285589,11005.5,315369
13.884,45849.4,355951,7657.11,250502,11822.5,283720
16.339,65751.3,432735,7297.33,255196,8689.46,309207
12.018,56567.8,375814,6705.14,210068,8417.87,229973
13.379,75508,372604,7136.4,270104,12390.1,247534
11.463,42450.2,326045,6830.64,226740,10741,220557
12.385,42107,323173,6630.88,232390,11482.2,252792
22.314,47424.5,429029,13107.2,444003,16622.1,398739
12.516,46012.3,375285,8335.63,262115,9057.22,251002
16.261,50961.9,341400,7778.06,220495,9027.17,233004
11.4,43590,316210,8721.53,283888,18684.5,277110
12.885,54935.3,348149,7108.24,230625,9046.58,223704
11.389,44509,325791,7211.32,241044,11300.3,292059
16.893,57579.3,484643,9829.97,263494,8573.95,261503
11.256,45910.9,414732,13633.8,234898,11999.5,236081
11.009,41305.7,312914,9452.81,223556,8680.48,219614
11.62,43487.2,317415,6640.38,225004,9121.17,216491
11.636,46024.9,388372,6534.98,241240,8216.07,236015
11.507,47267.1,375355,6545.68,227937,10304.5,263911
13.88,52393.8,388122,6520.99,228460,15836.6,296867
19.522,69624.9,425275,9078.78,307339,8475.75,255182
11.203,45594.5,387507,6858.13,239472,9296.9,247000
13.243,44625.1,343211,8144.21,230074,9293.06,238843
11.35,43330.8,334441,6829.22,215704,9892.13,259044
15.05,42808.2,337818,8885.89,242207,8711.05,207353
10.68,46047.2,359791,6732.3,274236,13830.2,298215
11.341,43539.1,498909,8762.23,324874,15273.2,281653
33.265,46385.3,314362,6443.12,214177,8236.49,219928
11.504,44143.2,327870,7167.04,206094,8313.34,216816
10.815,41425.5,322052,6379.24,203461,7940.5,252796
10.99,51738.5,482100,13740.4,250067,10896.2,297660
12.31,52914,430928,8637.62,239044,8368.62,221644
11.137,43158.2,314551,6177.23,215329,8316.44,220892
10.949,41297.8,313029,6419.5,237909,8218.51,369317
14.55,65559.8,535615,7065.8,215831,7747.09,223530
10.937,52572.2,347489,10912.2,241540,10354.3,266347
10.949,50422.2,306246,6808.04,211277,8437.5,216002
11.411,48960.5,302258,6365.64,202995,10801,263149
16.418,60815.6,411896,6529.51,248728,11352,282969
12.911,48424.1,368884,8766.24,267513,8144.91,344672
11.277,45051.3,440818,10211.5,282736,12623.9,218124
11.607,42321.4,381167,8250.28,254578,8023.51,263145
11.095,41427.4,338686,6263.02,212201,7731.31,204332
11.293,44098.3,359733,8069.97,271195,10870.9,269740
13.378,44254.8,330917,6536.85,226901,9187.16,233363
11.028,41782.4,326598,6890.7,218169,9084.44,253033
11.454,45446.7,410125,7250.39,276297,11536.5,230911
12.615,39943.9,343928,7011.45,213899,7886.1,200527
11.276,38827.9,293176,6104.49,220196,8163.48,249781
11.867,45248.5,330434,9791.31,218024,7605.45,211793
11.092,48742.6,346259,12058.1,246601,13167.6,251838
13.264,47625.4,313746,6281.06,209661,9565.4,225049
11.002,48460.9,313386,7496.37,214067,8248.59,227855
10.853,39787.8,385436,7626.07,230869,9237.36,214350
11.204,62949.2,335503,11746.2,268417,8704.86,239307
12.429,46496.4,317183,6290.85,204880,8308.04,213397
11.998,39819.3,303519,6209.92,215396,9215.54,248390
10.875,41229,329198,6194.06,215815,19237.4,251704
11.007,50868.3,333758,8840.1,222782,10679.9,223064
14.305,41745.6,319139,6113.03,240119,8271.57,269589
11.191,43036.3,311281,6722.75,198583,8540.15,214881
11.127,39869.8,300583,6789.14,204818,7809.41,207568
13.086,43295.2,315594,6275.53,194500,8111.18,215818
